https://www.CryptoDataDownload.com,,,,,,,,,
Unix,datetime,Symbol,Open,High,Low,price,Volume ETH,Volume USDT,tradecount
1657670400000,2022-07-13,ETHUSDT,1038.58,1119.18,1006.32,1115,2035605.8299,2158672347.75808,1423956
1657584000000,2022-07-12,ETHUSDT,1096.37,1098.26,1033.46,1038.58,1261349.6321,1347752238.27462,1142194
1657497600000,2022-07-11,ETHUSDT,1168.37,1171.29,1091.71,1096.4,1201652.3048,1370709630.79611,1165044
1657411200000,2022-07-10,ETHUSDT,1217.02,1219.95,1153,1168.36,1018038.6506,1200593502.21575,680105
1657324800000,2022-07-09,ETHUSDT,1214.03,1235.4,1204.67,1217.02,576337.1809,702039918.546905,716361
1657238400000,2022-07-08,ETHUSDT,1237.49,1276.46,1193.15,1214.04,1189518.3631,1466331923.65061,1233964
1657152000000,2022-07-07,ETHUSDT,1186.57,1254.29,1163.18,1237.49,1001316.079,1208160386.33831,877397
1657065600000,2022-07-06,ETHUSDT,1132.51,1205,1111.44,1186.57,1211768.0757,1388074909.87499,1040498
1656979200000,2022-07-05,ETHUSDT,1151.01,1174.9,1076.34,1132.5,1398961.4495,1578654373.51002,1130646
1656892800000,2022-07-04,ETHUSDT,1074.26,1160.9,1045.37,1151,1150108.9861,1266934953.32642,842895
1656806400000,2022-07-03,ETHUSDT,1067.01,1088.34,1040.78,1074.26,644746.3337,686056543.195206,562962
1656720000000,2022-07-02,ETHUSDT,1059.73,1078.88,1028.29,1067.01,714812.0804,752813687.02771,608900
1656633600000,2022-07-01,ETHUSDT,1071.02,1117,1033.44,1059.73,1562255.1439,1669000120.55005,1218279
1656547200000,2022-06-30,ETHUSDT,1100.21,1106.62,998,1071.01,1420670.3656,1481000138.96329,1180758
1656460800000,2022-06-29,ETHUSDT,1144.05,1156.8,1087.42,1100.21,1295517.796,1449586742.87225,1145867
1656374400000,2022-06-28,ETHUSDT,1192.51,1237.99,1136.32,1144.05,1104065.2211,1314982778.26741,952584
1656288000000,2022-06-27,ETHUSDT,1197.79,1238.93,1172.49,1192.51,868734.2061,1047407117.87767,794157
1656201600000,2022-06-26,ETHUSDT,1242.31,1280,1194.6,1197.79,884184.273,1094067725.45348,812743
1656115200000,2022-06-25,ETHUSDT,1225.02,1256.77,1180,1242.36,861986.6177,1048516642.21946,824872
1656028800000,2022-06-24,ETHUSDT,1144.71,1245.43,1132,1225.02,1337137.483,1589113478.22872,1232149
1655942400000,2022-06-23,ETHUSDT,1050.19,1155,1045.3,1144.72,1278257.0899,1415452039.24152,1031001
1655856000000,2022-06-22,ETHUSDT,1125.86,1127.33,1043.65,1050.19,1306959.8593,1420433701.91995,1132300
1655769600000,2022-06-21,ETHUSDT,1128.24,1194,1109.23,1125.85,1306095.3757,1500605189.57254,1295971
1655683200000,2022-06-20,ETHUSDT,1128.53,1170,1053,1128.24,1721772.9132,1910020862.81369,1585055
1655596800000,2022-06-19,ETHUSDT,995.12,1158.62,936.15,1128.53,2018599.4499,2092850317.9514,1796154
1655510400000,2022-06-18,ETHUSDT,1086.93,1097.58,881.56,995.13,2308983.5187,2263399396.75372,1911260
1655424000000,2022-06-17,ETHUSDT,1068.5,1118,1051.11,1086.94,1220677.9491,1329091114.65009,1118997
1655337600000,2022-06-16,ETHUSDT,1237.53,1257.85,1051.55,1068.5,1447386.8304,1649596819.73424,1443117
1655251200000,2022-06-15,ETHUSDT,1208.9,1250,1014.4,1237.52,3114823.13621,3493040697.13766,2868796
1655164800000,2022-06-14,ETHUSDT,1209.35,1268.45,1075.8,1208.9,2716493.80131,3217818700.12419,2225812
1655078400000,2022-06-13,ETHUSDT,1434.84,1455,1165.45,1209.82,3626351.66536,4611744120.81747,3047112
1654992000000,2022-06-12,ETHUSDT,1532.89,1547,1423,1434.84,1563225.37018,2311178755.26947,1192382
1654905600000,2022-06-11,ETHUSDT,1662.91,1682.21,1496.74,1532.89,1220325.2542,1914818053.83376,1030360
1654819200000,2022-06-10,ETHUSDT,1788.8,1804.32,1655.93,1662.91,955035.79239,1648304410.44632,990969
